,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
1388,E01001409,Enfield 005B,19,33.84,8.79,1279,18.9,101,11,39500.0,173500.0
1389,E01001410,Enfield 005C,16,31.26,9.63,1115,15.9,108,13,46150.0,125833.0
1390,E01001411,Enfield 004B,7,26.43,10.52,1182,18.6,99,6,31530.0,296500.0
1391,E01001412,Enfield 004C,22,52.25,15.83,1210,1432.8,1,6,30700.0,296748.0
1392,E01001413,Enfield 004D,15,29.29,20.85,991,51.1,32,2,40300.0,358500.0
1393,E01001414,Enfield 004E,5,30.52,17.31,902,39.4,38,10,35290.0,201567.0
1394,E01001415,Enfield 011A,35,36.38,25.84,924,108.3,14,3,40100.0,269833.0
1395,E01001416,Enfield 013A,22,41.56,19.2,1104,32.4,54,2,37850.0,490667.0
1396,E01001417,Enfield 011B,17,45.75,19.04,1237,570.1,3,2,33450.0,921667.0
1397,E01001418,Enfield 011C,19,39.62,21.68,1014,62.0,27,4,32260.0,370917.0
1398,E01001419,Enfield 020A,38,33.8,19.93,1293,66.6,30,4,36270.0,259000.0
1399,E01001420,Enfield 020B,16,42.63,14.81,1014,35.6,44,8,33810.0,297500.0
1400,E01001421,Enfield 020C,12,41.1,18.69,1064,19.4,90,7,44730.0,235833.0
1401,E01001422,Enfield 011D,7,48.81,17.89,1007,146.3,11,2,42480.0,1275000.0
1402,E01001423,Enfield 027A,21,8.91,11.95,1131,19.2,94,11,42640.0,213998.0
1403,E01001424,Enfield 030A,4,3.98,6.69,838,7.2,179,16,40450.0,158917.0
1404,E01001425,Enfield 027B,20,9.08,6.22,1255,40.2,49,18,43860.0,168583.0
1405,E01001426,Enfield 030B,24,7.03,8.06,1221,30.8,61,13,39410.0,177000.0
1406,E01001427,Enfield 030C,25,20.42,7.44,1207,134.7,14,16,38420.0,194250.0
1407,E01001428,Enfield 027C,28,7.53,10.01,1092,15.8,109,15,39500.0,230833.0
1408,E01001429,Enfield 030D,17,4.98,11.41,1567,24.3,102,10,37610.0,135063.0
1409,E01001430,Enfield 030E,15,4.66,6.57,1133,11.7,162,21,36660.0,155167.0
1410,E01001431,Enfield 033A,18,9.81,5.68,1079,13.6,118,16,39500.0,130083.0
1411,E01001432,Enfield 033B,20,10.51,8.15,1292,15.3,128,15,32260.0,182917.0
1412,E01001433,Enfield 007A,19,66.75,7.39,1163,33.4,55,16,30400.0,215750.0
1413,E01001434,Enfield 007B,21,64.5,10.52,1000,17.7,88,9,39350.0,229333.0
1414,E01001435,Enfield 007C,12,67.0,12.26,948,15.8,95,10,36750.0,207500.0
1415,E01001436,Enfield 007D,26,64.88,12.99,1180,19.6,97,11,41740.0,234333.0
1416,E01001437,Enfield 014A,33,45.5,10.89,1504,264.1,9,15,32450.0,181767.0
1417,E01001438,Enfield 007E,24,46.5,9.76,1083,27.7,60,14,39540.0,242166.0
1418,E01001439,Enfield 006A,45,38.47,8.51,1272,21.0,100,20,46720.0,161833.0
1419,E01001440,Enfield 012A,26,35.58,15.22,1045,31.5,54,10,53030.0,216000.0
1420,E01001441,Enfield 006B,22,63.88,8.87,1015,33.3,46,13,40960.0,204500.0
1421,E01001442,Enfield 002A,30,63.5,10.63,1000,11.5,150,22,39140.0,172917.0
1422,E01001444,Enfield 001A,19,60.25,12.88,1136,34.7,50,9,36730.0,222333.0
1423,E01001445,Enfield 003B,26,56.0,5.11,1726,141.4,18,13,35330.0,197500.0
1424,E01001446,Enfield 001B,12,61.38,11.46,1159,18.1,100,10,59310.0,178583.0
1425,E01001447,Enfield 003C,21,65.88,11.79,1244,18.6,105,12,29900.0,205833.0
1426,E01001448,Enfield 003D,23,65.38,8.89,1184,15.8,116,13,27720.0,224167.0
1427,E01001449,Enfield 003E,15,62.75,8.66,1052,23.6,71,15,26360.0,205833.0
1428,E01001450,Enfield 015C,14,27.53,15.4,1324,35.8,55,6,27030.0,209500.0
1429,E01001451,Enfield 017A,16,24.39,21.64,1000,62.0,27,3,25910.0,350000.0
1430,E01001452,Enfield 017B,19,31.13,17.89,853,63.9,21,3,28400.0,553333.0
1431,E01001453,Enfield 017C,24,35.42,21.54,1032,51.4,33,2,26000.0,387833.0
1432,E01001454,Enfield 017D,17,34.73,21.85,976,38.7,43,3,24840.0,366576.0
1433,E01001455,Enfield 021F,21,28.37,17.88,970,23.8,61,2,27820.0,361667.0
1434,E01001456,Enfield 022A,16,31.23,16.13,862,26.6,53,2,28610.0,541333.0
1435,E01001457,Enfield 010A,15,26.41,22.76,1045,26.5,62,3,29940.0,233250.0
1436,E01001458,Enfield 037A,16,18.93,6.96,1192,16.3,110,17,32230.0,155500.0
1437,E01001459,Enfield 024A,13,18.34,11.06,1090,21.7,77,9,32900.0,236999.0
1438,E01001460,Enfield 024B,13,10.06,7.16,1128,12.3,144,12,32540.0,166300.0
1439,E01001461,Enfield 027D,17,17.39,8.69,1129,28.9,60,14,28340.0,200000.0
1440,E01001462,Enfield 024C,12,13.48,9.38,903,10.9,125,14,31130.0,148583.0
1441,E01001463,Enfield 031A,14,18.49,13.38,1031,26.2,61,8,27990.0,232333.0
1442,E01001464,Enfield 027E,21,13.95,12.49,870,20.2,68,10,30420.0,242867.0
1443,E01001465,Enfield 031B,27,22.48,12.98,1030,22.8,69,9,28700.0,251825.0
1444,E01001466,Enfield 031C,26,14.53,6.76,1174,9.9,186,15,26580.0,194000.0
1445,E01001467,Enfield 031D,13,18.05,6.43,1254,10.5,180,15,32300.0,215333.0
1446,E01001468,Enfield 010B,4,35.87,19.31,864,78.4,17,2,32200.0,338583.0
1447,E01001469,Enfield 008A,9,30.09,14.69,1062,22.5,73,5,31070.0,254992.0
1448,E01001470,Enfield 013B,12,43.48,21.8,942,189.7,8,3,29030.0,362500.0
1449,E01001471,Enfield 010C,11,30.37,21.23,1145,36.5,47,2,30840.0,207333.0
1450,E01001472,Enfield 010D,13,27.01,16.76,1132,25.1,69,3,31470.0,241750.0
1451,E01001473,Enfield 013C,14,35.67,19.27,946,84.3,18,7,38130.0,345000.0
1452,E01001474,Enfield 010E,9,26.82,19.03,1183,38.6,46,1,45110.0,311667.0
1453,E01001475,Enfield 013D,21,47.41,22.0,1044,33.8,51,3,49500.0,454500.0
1454,E01001476,Enfield 018A,26,31.45,11.57,1089,20.2,83,11,46510.0,209000.0
1455,E01001477,Enfield 018B,24,31.57,10.17,1166,67.5,28,13,47120.0,226833.0
1456,E01001478,Enfield 016B,15,26.42,13.15,993,31.8,49,9,43110.0,234992.0
1457,E01001479,Enfield 023A,17,22.28,13.01,1085,24.5,72,10,50470.0,207833.0
1458,E01001480,Enfield 024D,20,23.18,12.7,1032,19.7,78,6,43770.0,220083.0
1459,E01001481,Enfield 018C,9,27.79,13.54,1050,17.2,97,8,26550.0,221000.0
1460,E01001482,Enfield 023B,10,23.57,9.91,1170,17.7,105,11,32770.0,209833.0
1461,E01001483,Enfield 025A,17,28.29,8.24,812,55.9,21,10,29600.0,155915.0
1462,E01001484,Enfield 016C,14,32.17,15.76,817,32.9,41,9,28010.0,219758.0
1463,E01001485,Enfield 025B,19,10.21,12.11,1119,12.6,144,11,30350.0,187750.0
1464,E01001486,Enfield 025C,18,11.92,9.53,1366,18.1,121,16,32270.0,178000.0
1465,E01001487,Enfield 023C,8,17.91,10.97,1200,13.0,151,13,28770.0,206667.0
1466,E01001488,Enfield 024E,10,15.89,9.36,1250,13.2,150,13,32460.0,210844.0
1467,E01001489,Enfield 023D,6,18.74,11.11,1138,17.8,105,12,30800.0,208167.0
1468,E01001491,Enfield 023E,21,13.01,8.26,1325,14.8,137,13,32140.0,197667.0
1469,E01001492,Enfield 025E,15,14.16,10.78,1258,15.4,129,12,43260.0,218833.0
1470,E01001493,Enfield 026B,29,30.38,13.86,1160,23.3,75,6,39810.0,294500.0
1471,E01001494,Enfield 026C,24,27.52,16.6,969,16.2,93,3,43490.0,313583.0
1472,E01001495,Enfield 029A,26,31.11,9.0,1355,15.4,117,2,41580.0,261917.0
1473,E01001496,Enfield 026D,20,31.43,14.85,1133,26.2,64,5,41140.0,365083.0
1474,E01001497,Enfield 031E,7,25.04,14.95,933,20.3,72,8,40810.0,266000.0
1475,E01001498,Enfield 029B,48,28.52,10.36,1424,19.1,103,3,45130.0,284833.0
1476,E01001499,Enfield 031F,29,30.5,15.71,1094,20.8,79,5,45220.0,308750.0
1477,E01001500,Enfield 035D,33,26.19,13.5,1028,22.5,70,5,31940.0,348000.0
1478,E01001501,Enfield 036E,43,24.78,11.87,1388,30.3,66,5,30410.0,231667.0
1479,E01001502,Enfield 018D,37,37.63,9.98,1235,28.1,66,11,34150.0,213333.0
1480,E01001503,Enfield 018E,22,35.41,13.68,1139,17.0,109,11,31190.0,218258.0
1481,E01001504,Enfield 012B,28,56.13,12.36,968,18.2,84,11,32850.0,227333.0
1482,E01001505,Enfield 012C,17,38.85,9.31,1139,19.5,90,11,31890.0,209500.0
1483,E01001506,Enfield 014B,17,31.24,6.45,1070,194.6,9,15,29580.0,198833.0
1484,E01001507,Enfield 012D,55,36.42,10.16,1241,26.8,72,11,27290.0,149333.0
1485,E01001508,Enfield 012E,20,36.81,7.37,1372,20.8,97,12,33690.0,190333.0
1486,E01001509,Enfield 014C,27,55.38,8.45,1151,14.6,120,13,28460.0,148667.0
1487,E01001510,Enfield 014D,13,39.33,4.24,932,15.0,102,20,27100.0,154500.0
1488,E01001511,Enfield 016D,22,29.09,11.04,1124,38.9,46,7,28890.0,245333.0
1489,E01001512,Enfield 015D,15,24.41,12.77,1157,19.1,94,7,31940.0,234500.0
1490,E01001513,Enfield 012F,24,28.0,10.32,1131,95.0,19,14,30320.0,209583.0
1491,E01001514,Enfield 016E,21,30.73,8.04,1238,13.7,131,7,29970.0,224250.0
1492,E01001515,Enfield 015E,24,28.14,6.21,1295,13.0,154,16,29860.0,190000.0
1493,E01001516,Enfield 005D,27,32.73,11.62,1138,32.8,55,10,34970.0,235575.0
1494,E01001517,Enfield 006C,21,37.03,8.39,1177,18.2,103,17,36920.0,165083.0
1495,E01001518,Enfield 016F,24,32.41,10.49,1280,55.9,33,6,40090.0,247167.0
1496,E01001519,Enfield 020D,57,23.07,9.88,1890,35.3,74,6,39460.0,231667.0
1497,E01001520,Enfield 019A,21,34.24,15.71,1073,35.3,47,6,35830.0,279167.0
1498,E01001521,Enfield 028A,25,34.21,14.96,1202,48.4,37,2,39360.0,400000.0
1499,E01001522,Enfield 019B,3,41.53,11.86,1266,20.5,94,7,36400.0,247833.0
1500,E01001523,Enfield 019C,26,43.57,19.41,1090,52.1,34,4,38270.0,326250.0
1501,E01001524,Enfield 019D,22,37.58,12.97,1026,25.8,60,8,37030.0,391667.0
1502,E01001525,Enfield 020E,34,34.19,14.54,1265,23.4,80,4,30440.0,313750.0
1503,E01001526,Enfield 019E,21,41.32,21.48,999,28.4,58,3,31040.0,331667.0
1504,E01001527,Enfield 036F,30,28.51,16.93,1082,39.3,41,2,30880.0,339167.0
1505,E01001528,Enfield 032B,9,33.79,7.34,1004,20.9,67,13,30090.0,195333.0
1506,E01001529,Enfield 032C,25,35.43,11.49,1133,16.7,96,9,29010.0,197833.0
1507,E01001530,Enfield 032D,15,28.95,14.54,868,20.9,64,4,28000.0,312833.0
1508,E01001531,Enfield 028B,13,41.4,14.81,1009,22.8,67,3,30150.0,506917.0
1509,E01001532,Enfield 028C,34,34.13,14.48,1172,28.9,60,2,28160.0,436833.0
1510,E01001533,Enfield 028D,26,33.47,22.29,953,32.8,48,2,25900.0,507317.0
1511,E01001534,Enfield 032E,45,34.7,17.08,1105,40.3,41,3,36410.0,419750.0
1512,E01001535,Enfield 028E,31,29.11,18.56,938,39.3,38,2,35770.0,493500.0
1513,E01001536,Enfield 008B,31,19.52,17.68,1107,43.3,39,4,31600.0,332500.0
1514,E01001537,Enfield 005E,13,33.65,14.64,1117,19.0,92,6,36570.0,208667.0
1515,E01001538,Enfield 009A,14,29.47,14.55,1081,25.5,65,3,30450.0,297000.0
1516,E01001539,Enfield 009B,13,26.22,15.52,1081,21.9,77,3,32050.0,265000.0
1517,E01001540,Enfield 008C,10,32.13,13.39,1223,25.9,70,6,26650.0,208583.0
1518,E01001541,Enfield 008D,5,27.53,10.64,1026,18.2,84,2,37650.0,295591.0
1519,E01001542,Enfield 008E,10,21.62,15.66,967,18.4,86,6,38790.0,214750.0
1520,E01001543,Enfield 009C,10,24.15,16.62,1034,20.8,79,4,40260.0,317667.0
1521,E01001544,Enfield 009D,13,18.54,20.5,978,30.3,52,2,45470.0,343167.0
1522,E01001545,Enfield 002B,16,68.25,9.02,1132,34.5,52,17,41270.0,173167.0
1523,E01001546,Enfield 001C,36,62.88,10.43,1200,23.9,78,12,41950.0,222167.0
1524,E01001547,Enfield 002C,27,60.38,14.24,1153,24.9,75,10,40500.0,232500.0
1525,E01001548,Enfield 002D,27,62.0,10.98,1188,30.0,63,14,39740.0,206333.0
1526,E01001549,Enfield 006D,20,41.7,7.15,1216,32.1,62,19,42540.0,156625.0
