,lsoa,Names,Number of Burglary2012,Average time,Aged 65+Percentage,Working-age,Area (Hectares),Population Density Persons per hectare,% of households with no adults in employment: With dependent children,Median house income 2011/12,Average median house price(2010-2012)
0,E01000001,City of London 001A,1,18.61,20.01,1042,13.0,113,1,65520.0,516492.0
1,E01000002,City of London 001B,1,18.86,20.29,1007,22.8,64,1,66300.0,537917.0
2,E01000003,City of London 001C,0,14.25,18.3,1037,5.9,240,2,54140.0,334500.0
3,E01000005,City of London 001E,1,19.37,13.12,715,19.0,53,3,46740.0,326667.0
4,E01000006,Barking and Dagenham 016A,16,9.38,7.58,1221,14.7,122,6,62460.0,239017.0
5,E01000007,Barking and Dagenham 015A,14,6.84,4.74,1036,20.0,74,6,61830.0,164000.0
6,E01000008,Barking and Dagenham 015B,5,12.11,2.66,1045,19.5,83,14,38200.0,140833.0
7,E01000009,Barking and Dagenham 016B,29,7.25,9.79,1319,12.8,144,6,32940.0,194833.0
8,E01000010,Barking and Dagenham 015C,42,1.97,2.76,2293,35.2,89,8,31430.0,136992.0
9,E01000011,Barking and Dagenham 016C,11,10.51,6.02,1209,9.2,183,8,35230.0,224332.0
10,E01000012,Barking and Dagenham 015D,17,12.11,3.34,1321,13.9,144,14,35190.0,142417.0
11,E01000013,Barking and Dagenham 013A,22,51.97,12.75,1059,20.8,83,11,34830.0,157500.0
12,E01000014,Barking and Dagenham 013B,18,56.78,11.32,1072,34.1,49,11,33780.0,159333.0
13,E01000015,Barking and Dagenham 009A,33,37.25,6.68,1481,28.1,83,17,33190.0,150667.0
14,E01000016,Barking and Dagenham 009B,13,43.12,11.26,1047,19.9,83,11,32850.0,165665.0
15,E01000017,Barking and Dagenham 009C,19,47.31,10.3,1046,15.8,102,10,32520.0,166083.0
16,E01000018,Barking and Dagenham 009D,28,41.67,9.89,1036,17.4,96,13,33720.0,167667.0
17,E01000019,Barking and Dagenham 023A,31,27.75,9.85,907,18.4,78,11,33120.0,174667.0
18,E01000020,Barking and Dagenham 023B,23,33.75,11.39,1164,18.7,100,9,33750.0,171000.0
19,E01000021,Barking and Dagenham 008A,25,37.71,8.12,1070,16.9,95,12,33990.0,162167.0
20,E01000022,Barking and Dagenham 008B,25,45.0,7.86,875,12.8,105,14,34070.0,163333.0
21,E01000023,Barking and Dagenham 008C,19,34.64,8.59,952,20.7,70,7,31980.0,178662.0
22,E01000024,Barking and Dagenham 008D,18,37.5,8.98,840,12.9,104,10,34440.0,174250.0
23,E01000025,Barking and Dagenham 008E,16,39.75,9.99,1057,15.3,104,11,34270.0,168333.0
24,E01000027,Barking and Dagenham 001A,21,37.58,13.31,1019,147.5,12,13,33810.0,175500.0
25,E01000028,Barking and Dagenham 001B,15,40.42,14.2,911,14.4,109,13,33790.0,152667.0
26,E01000029,Barking and Dagenham 001C,41,32.12,27.43,854,25.7,62,4,32750.0,235167.0
27,E01000030,Barking and Dagenham 001D,18,32.43,11.13,1146,28.6,69,17,31780.0,145333.0
28,E01000031,Barking and Dagenham 002A,32,36.32,14.03,1054,84.4,19,6,35540.0,221833.0
29,E01000032,Barking and Dagenham 002B,40,31.18,14.55,1031,37.6,44,7,31830.0,198000.0
30,E01000033,Barking and Dagenham 006A,12,41.28,11.51,858,14.5,97,12,38150.0,171733.0
31,E01000034,Barking and Dagenham 003A,12,32.11,17.64,891,51.4,29,9,36230.0,205167.0
32,E01000035,Barking and Dagenham 010A,26,35.02,14.84,1019,39.7,42,9,33730.0,184333.0
33,E01000036,Barking and Dagenham 010B,23,32.44,11.28,913,41.9,33,5,36300.0,192500.0
34,E01000037,Barking and Dagenham 003B,17,30.45,12.54,1228,23.3,74,3,37170.0,203000.0
35,E01000038,Barking and Dagenham 003C,16,31.18,18.34,899,21.4,68,4,38460.0,211250.0
36,E01000039,Barking and Dagenham 003D,7,31.06,15.8,1031,153.2,11,5,40510.0,184167.0
37,E01000040,Barking and Dagenham 019A,29,17.95,11.68,1004,17.1,93,11,38390.0,176500.0
38,E01000041,Barking and Dagenham 017A,12,37.28,9.13,1060,15.3,110,11,38810.0,160667.0
39,E01000042,Barking and Dagenham 017B,35,27.6,7.94,1146,23.1,79,16,33570.0,165492.0
40,E01000043,Barking and Dagenham 019B,20,21.09,13.34,835,26.6,50,8,33500.0,221250.0
41,E01000044,Barking and Dagenham 016D,18,10.63,8.4,1178,17.1,107,9,32270.0,185667.0
42,E01000045,Barking and Dagenham 017C,21,31.68,8.81,1053,29.8,56,13,34390.0,161500.0
43,E01000046,Barking and Dagenham 017D,12,85.75,8.61,1142,15.6,116,10,35370.0,161500.0
44,E01000048,Barking and Dagenham 021B,8,9.25,3.99,1027,6.5,271,19,34060.0,113000.0
45,E01000049,Barking and Dagenham 021C,25,12.3,6.31,1093,21.2,88,18,33080.0,151667.0
46,E01000050,Barking and Dagenham 019C,19,7.13,10.77,1040,13.8,125,10,28270.0,189500.0
47,E01000051,Barking and Dagenham 021D,12,4.7,2.91,1177,6.7,279,21,29960.0,143500.0
48,E01000052,Barking and Dagenham 019D,45,15.37,9.45,1339,20.0,107,9,32130.0,161417.0
49,E01000053,Barking and Dagenham 020A,13,56.67,11.22,1000,18.1,87,9,28400.0,137000.0
50,E01000054,Barking and Dagenham 018A,16,61.01,12.03,1060,17.1,100,10,32570.0,168832.0
51,E01000055,Barking and Dagenham 018B,9,58.38,9.42,1056,14.6,110,10,33100.0,157333.0
52,E01000056,Barking and Dagenham 018C,14,63.09,10.75,998,24.4,66,12,34260.0,159150.0
53,E01000057,Barking and Dagenham 012A,27,52.38,10.0,921,14.8,100,14,34210.0,161333.0
54,E01000058,Barking and Dagenham 018D,16,58.75,8.18,1226,18.2,104,11,33890.0,168998.0
55,E01000059,Barking and Dagenham 013C,17,55.72,12.23,950,20.8,75,13,33940.0,158833.0
56,E01000060,Barking and Dagenham 006B,32,32.72,12.69,1079,55.0,33,10,34470.0,146833.0
57,E01000061,Barking and Dagenham 006C,17,31.21,3.47,1142,61.1,30,23,33460.0,133167.0
58,E01000062,Barking and Dagenham 006D,17,36.39,13.56,1206,22.1,90,9,32960.0,178833.0
59,E01000063,Barking and Dagenham 004A,21,33.21,12.08,1016,18.1,90,12,29130.0,163167.0
60,E01000064,Barking and Dagenham 006E,24,31.25,15.12,1214,20.9,96,11,33600.0,155999.0
61,E01000065,Barking and Dagenham 007A,28,36.4,16.29,1039,23.4,73,8,32930.0,154248.0
62,E01000066,Barking and Dagenham 011A,25,31.1,10.76,1239,24.5,79,7,32390.0,250249.0
63,E01000067,Barking and Dagenham 011B,22,27.57,11.41,1340,19.3,106,6,31210.0,250000.0
64,E01000068,Barking and Dagenham 016E,24,12.72,11.08,1093,34.0,47,2,39010.0,252542.0
65,E01000069,Barking and Dagenham 011C,23,23.04,10.48,1181,20.1,88,3,40040.0,284000.0
66,E01000070,Barking and Dagenham 011D,27,18.36,14.21,1269,39.2,50,4,41560.0,263833.0
67,E01000071,Barking and Dagenham 011E,28,20.86,11.84,1489,27.1,86,6,42310.0,254165.0
68,E01000072,Barking and Dagenham 017E,28,33.07,11.28,1252,52.0,40,14,41110.0,160500.0
69,E01000073,Barking and Dagenham 012B,15,38.55,11.46,999,28.5,58,9,39900.0,160000.0
70,E01000074,Barking and Dagenham 012C,10,53.5,9.73,991,16.4,96,10,31020.0,159667.0
71,E01000075,Barking and Dagenham 012D,20,43.72,12.66,1092,51.7,34,8,33160.0,196167.0
72,E01000076,Barking and Dagenham 012E,13,89.0,8.97,1181,19.1,105,13,33140.0,160167.0
73,E01000077,Barking and Dagenham 008F,10,37.0,10.27,967,17.4,87,11,33810.0,168583.0
74,E01000078,Barking and Dagenham 007B,12,39.35,10.07,1077,17.6,94,17,32160.0,168083.0
75,E01000079,Barking and Dagenham 009E,18,58.83,13.74,945,31.0,51,11,32110.0,155833.0
76,E01000080,Barking and Dagenham 007C,20,40.75,11.03,1002,23.1,69,10,32430.0,161083.0
77,E01000081,Barking and Dagenham 007D,17,42.02,10.86,1079,18.6,92,11,32480.0,165583.0
78,E01000082,Barking and Dagenham 007E,17,42.42,8.95,1088,16.1,106,10,32220.0,146749.0
79,E01000083,Barking and Dagenham 007F,23,39.63,11.36,1055,18.0,95,13,33260.0,169667.0
80,E01000084,Barking and Dagenham 013D,15,52.41,10.02,861,15.0,92,10,33340.0,157667.0
81,E01000085,Barking and Dagenham 013E,20,52.25,10.13,1068,14.5,119,11,32870.0,153083.0
82,E01000086,Barking and Dagenham 013F,22,54.2,10.13,899,14.0,102,9,33520.0,166000.0
83,E01000087,Barking and Dagenham 020B,24,41.42,9.3,899,37.3,37,11,31730.0,165000.0
84,E01000088,Barking and Dagenham 020C,23,49.19,12.55,1170,22.6,84,9,34260.0,164667.0
85,E01000089,Barking and Dagenham 020D,24,38.34,8.25,1111,14.6,122,12,33830.0,155666.0
86,E01000090,Barking and Dagenham 020E,18,459.21,9.18,996,195.5,8,9,35690.0,154167.0
87,E01000091,Barking and Dagenham 022A,29,33.65,8.76,1031,24.6,72,15,34930.0,170083.0
88,E01000092,Barking and Dagenham 019E,50,34.54,7.58,1809,264.5,11,10,35550.0,194333.0
89,E01000093,Barking and Dagenham 022B,29,26.38,6.49,1062,29.4,56,12,30860.0,172000.0
90,E01000094,Barking and Dagenham 022C,6,30.69,1.87,906,60.3,22,13,34850.0,153000.0
91,E01000095,Barking and Dagenham 018E,23,37.75,7.31,1023,229.5,7,9,31020.0,156250.0
92,E01000096,Barking and Dagenham 022D,16,38.39,4.75,1063,60.2,29,20,35620.0,160167.0
93,E01000097,Barking and Dagenham 023C,34,30.11,17.4,961,17.9,94,8,35960.0,185000.0
94,E01000098,Barking and Dagenham 023D,24,28.75,8.45,1149,17.5,103,12,31070.0,180333.0
95,E01000099,Barking and Dagenham 023E,31,27.96,9.51,1289,31.0,66,10,33780.0,189917.0
96,E01000100,Barking and Dagenham 004B,24,34.58,10.99,1004,21.2,77,10,33300.0,160267.0
97,E01000101,Barking and Dagenham 004C,22,31.1,11.05,1002,16.4,96,10,34610.0,162333.0
98,E01000102,Barking and Dagenham 007G,18,44.23,12.61,955,25.3,61,10,33830.0,160500.0
99,E01000103,Barking and Dagenham 014A,36,43.42,8.38,1124,70.1,24,13,33320.0,146667.0
100,E01000104,Barking and Dagenham 014B,36,36.24,8.55,1115,22.0,80,12,33890.0,149642.0
101,E01000105,Barking and Dagenham 014C,38,40.55,12.01,1364,22.1,99,10,32220.0,152000.0
102,E01000106,Barking and Dagenham 014D,34,36.54,11.05,1256,21.9,92,11,31660.0,112333.0
103,E01000107,Barking and Dagenham 010C,21,37.9,16.46,1001,53.6,31,8,30900.0,178333.0
104,E01000108,Barking and Dagenham 010D,30,31.51,12.47,1046,24.2,66,8,31400.0,162667.0
105,E01000109,Barking and Dagenham 004D,20,32.06,10.56,1124,37.5,46,8,35570.0,174833.0
106,E01000110,Barking and Dagenham 002C,14,27.14,14.57,921,19.5,73,4,35200.0,225667.0
107,E01000111,Barking and Dagenham 002D,38,42.9,13.36,1157,29.7,63,10,36940.0,166500.0
108,E01000112,Barking and Dagenham 002E,34,33.09,10.35,1309,27.8,70,7,40760.0,190500.0
109,E01000113,Barking and Dagenham 002F,35,28.93,10.32,1103,15.4,112,8,36090.0,213167.0
110,E01000114,Barking and Dagenham 004E,32,39.27,11.28,1290,25.6,81,8,37290.0,181667.0
111,E01000115,Barnet 009A,22,40.67,19.22,921,27.4,54,2,38690.0,502250.0
112,E01000116,Barnet 009B,29,42.24,15.35,1085,24.5,72,3,36990.0,344667.0
113,E01000117,Barnet 010A,32,44.65,19.19,1152,33.1,55,4,33720.0,315208.0
114,E01000118,Barnet 010B,34,43.5,13.09,1291,28.6,70,4,31740.0,353333.0
115,E01000119,Barnet 009C,20,36.12,18.09,1056,39.7,42,3,31300.0,436000.0
116,E01000120,Barnet 009D,22,39.62,17.88,913,24.5,61,2,43890.0,463667.0
117,E01000121,Barnet 010C,11,43.7,14.34,906,37.6,39,15,40180.0,281250.0
118,E01000122,Barnet 009E,24,39.31,13.78,970,23.6,63,3,37810.0,382833.0
119,E01000123,Barnet 010D,20,36.99,10.51,1204,52.7,32,3,38340.0,280000.0
120,E01000124,Barnet 010E,31,32.98,9.91,1144,25.6,64,6,41920.0,246250.0
121,E01000125,Barnet 024A,23,32.69,8.84,1896,30.8,93,11,42420.0,215317.0
122,E01000126,Barnet 026A,3,13.66,5.8,1510,16.1,140,12,32850.0,207000.0
123,E01000127,Barnet 024B,8,25.55,8.64,1005,20.1,76,11,41310.0,212500.0
124,E01000128,Barnet 024C,19,21.2,9.74,1197,24.7,76,10,37200.0,246417.0
125,E01000129,Barnet 024D,29,25.48,12.87,1137,17.2,104,10,33870.0,209250.0
126,E01000130,Barnet 021A,14,19.44,7.05,1115,17.1,96,11,29120.0,209013.0
127,E01000131,Barnet 024E,22,16.7,12.4,1222,33.6,54,5,28270.0,265417.0
128,E01000132,Barnet 021B,7,27.47,8.5,966,15.4,96,10,29050.0,228750.0
129,E01000133,Barnet 021C,5,22.14,10.32,1043,15.6,103,10,30460.0,230417.0
130,E01000134,Barnet 024F,11,31.35,9.17,1115,15.9,104,7,27720.0,216833.0
131,E01000135,Barnet 038A,42,32.16,18.99,1022,33.1,49,2,31010.0,614167.0
132,E01000136,Barnet 038B,17,37.48,21.28,935,52.1,30,2,31990.0,1661667.0
133,E01000137,Barnet 041A,15,35.96,14.78,1093,12.3,146,11,30800.0,306667.0
134,E01000138,Barnet 040A,26,27.79,12.72,1018,26.2,58,6,29660.0,481667.0
135,E01000139,Barnet 041B,27,34.53,13.42,1034,35.1,42,4,29990.0,545250.0
136,E01000140,Barnet 041C,22,33.06,11.75,1242,14.6,115,5,44720.0,417833.0
137,E01000141,Barnet 039A,21,39.72,5.25,1665,37.1,59,8,59440.0,270000.0
138,E01000142,Barnet 040B,21,35.19,10.01,1686,19.9,120,6,32720.0,230000.0
139,E01000143,Barnet 041D,24,34.41,9.78,1019,17.5,85,10,36840.0,572917.0
140,E01000144,Barnet 038C,32,29.28,9.19,1186,19.8,81,2,39690.0,678500.0
141,E01000145,Barnet 037A,35,33.42,13.57,935,20.7,76,5,36780.0,621658.0
142,E01000146,Barnet 038D,39,34.17,11.14,1269,20.7,84,4,32420.0,673333.0
143,E01000147,Barnet 030A,18,13.39,14.71,1217,20.2,89,2,35040.0,332000.0
144,E01000148,Barnet 030B,15,15.01,9.7,1364,23.4,84,8,33110.0,222750.0
145,E01000150,Barnet 036A,20,18.57,12.2,1427,46.5,45,4,43950.0,238833.0
146,E01000151,Barnet 026B,10,9.03,5.43,1072,14.2,123,17,42520.0,233333.0
147,E01000152,Barnet 026C,9,14.37,5.1,1093,18.5,94,18,41460.0,194150.0
148,E01000153,Barnet 026D,14,15.12,10.09,1098,16.5,104,12,33560.0,237083.0
149,E01000154,Barnet 026E,5,5.68,10.75,792,13.5,90,10,29610.0,222333.0
150,E01000155,Barnet 030D,12,9.93,4.62,1426,29.1,68,6,32180.0,215325.0
151,E01000156,Barnet 022A,42,32.77,10.55,1323,18.0,108,4,27600.0,346500.0
152,E01000157,Barnet 022B,20,31.68,8.56,1127,12.6,124,7,27520.0,223650.0
153,E01000158,Barnet 015A,32,36.9,10.84,1015,27.0,56,7,28650.0,307733.0
154,E01000159,Barnet 015B,29,48.07,14.38,1169,49.3,37,7,27200.0,362500.0
155,E01000160,Barnet 015C,28,31.63,7.58,1614,30.3,72,4,31300.0,357333.0
156,E01000161,Barnet 015D,28,35.84,13.9,1389,24.3,80,4,39510.0,278667.0
157,E01000162,Barnet 015E,34,40.48,13.98,1081,18.2,89,5,36450.0,366833.0
158,E01000163,Barnet 022C,23,34.94,8.25,1165,19.1,84,7,37580.0,172000.0
159,E01000164,Barnet 022D,24,37.66,8.09,1191,54.7,32,9,39500.0,273667.0
160,E01000165,Barnet 022E,10,39.53,8.71,1325,18.5,101,6,41330.0,322667.0
161,E01000166,Barnet 003A,22,51.38,16.66,1036,37.0,44,5,37190.0,329917.0
162,E01000167,Barnet 002A,14,56.3,13.21,880,60.2,22,8,37290.0,274983.0
163,E01000168,Barnet 003B,34,48.82,20.46,958,31.4,50,1,32340.0,438333.0
164,E01000169,Barnet 003C,31,49.35,13.3,1044,23.9,65,3,33790.0,270000.0
165,E01000170,Barnet 006A,28,44.46,15.25,1017,29.7,55,6,37990.0,283000.0
166,E01000171,Barnet 006B,35,40.88,7.32,1345,33.3,58,10,39390.0,213750.0
167,E01000172,Barnet 003D,20,44.0,15.43,1053,54.4,31,6,34740.0,340816.0
168,E01000173,Barnet 006C,39,49.29,12.99,1143,36.6,48,4,43090.0,354167.0
169,E01000174,Barnet 006D,15,43.37,12.28,1171,18.9,95,5,39600.0,262667.0
170,E01000175,Barnet 006E,32,43.4,16.62,979,50.1,31,3,36870.0,351167.0
171,E01000176,Barnet 027A,17,50.95,16.28,1039,22.0,73,6,36200.0,389167.0
172,E01000177,Barnet 029A,21,41.23,11.23,1216,16.9,101,2,40750.0,357500.0
173,E01000178,Barnet 027B,30,40.95,14.64,1162,41.8,44,3,40240.0,582417.0
174,E01000179,Barnet 029B,18,43.68,8.81,1180,14.4,111,3,36110.0,348333.0
175,E01000180,Barnet 029C,15,38.09,15.5,1079,17.1,95,5,40940.0,327000.0
176,E01000181,Barnet 029D,21,35.87,10.84,1282,14.3,124,2,34160.0,675833.0
177,E01000182,Barnet 029E,18,32.6,14.3,1239,21.9,80,1,42630.0,454250.0
178,E01000183,Barnet 033A,18,41.75,19.39,911,23.1,65,2,41350.0,485000.0
179,E01000184,Barnet 027C,15,50.55,11.85,955,68.6,22,11,42100.0,227333.0
180,E01000185,Barnet 029F,10,41.6,9.73,1059,12.4,121,10,38810.0,213333.0
181,E01000186,Barnet 014A,12,38.25,15.0,946,25.5,65,2,45890.0,494408.0
182,E01000187,Barnet 014B,9,45.5,17.52,959,21.6,78,6,43220.0,391167.0
183,E01000188,Barnet 014C,27,61.75,17.0,962,318.9,5,2,45880.0,555667.0
184,E01000189,Barnet 014D,20,52.5,5.54,1306,16.2,125,14,33140.0,250833.0
185,E01000190,Barnet 014E,14,45.75,16.08,964,24.8,65,4,32220.0,480167.0
186,E01000191,Barnet 014F,16,46.5,20.77,871,25.4,59,3,43250.0,466467.0
187,E01000192,Barnet 018A,17,46.5,15.71,1224,28.4,67,3,38650.0,306667.0
188,E01000193,Barnet 018B,20,45.75,14.91,1189,30.4,60,4,44020.0,347292.0
189,E01000194,Barnet 018C,46,52.5,11.61,1174,33.2,52,6,31430.0,330667.0
190,E01000195,Barnet 013A,8,63.5,9.76,1215,31.5,59,9,41870.0,174667.0
191,E01000196,Barnet 028A,22,42.01,16.58,1306,24.6,75,3,42710.0,326917.0
192,E01000197,Barnet 023A,32,39.11,10.48,1346,27.7,68,3,37510.0,388750.0
193,E01000198,Barnet 025A,40,27.44,12.28,1244,32.9,61,4,38270.0,344158.0
194,E01000199,Barnet 025B,19,34.77,24.33,904,33.8,48,2,35590.0,517500.0
195,E01000200,Barnet 028B,21,32.61,24.57,1129,27.8,68,2,31470.0,448500.0
196,E01000201,Barnet 028C,19,29.14,18.39,944,39.4,39,2,40680.0,999167.0
197,E01000202,Barnet 028D,13,39.52,14.74,1147,22.6,79,2,41870.0,542667.0
198,E01000203,Barnet 028E,20,35.96,14.12,1161,30.5,58,6,43490.0,339833.0
199,E01000204,Barnet 025C,19,42.51,15.68,1165,31.7,54,2,45740.0,414000.0
200,E01000205,Barnet 035A,47,29.9,16.8,924,38.0,41,3,43400.0,656167.0
201,E01000206,Barnet 033B,23,43.89,20.31,959,132.1,12,3,51120.0,2342933.0
202,E01000207,Barnet 033C,15,33.61,17.73,965,34.7,45,3,46690.0,1280000.0
203,E01000208,Barnet 033D,27,36.3,17.07,982,40.7,39,1,39830.0,514167.0
204,E01000209,Barnet 035B,29,28.56,29.92,810,40.1,39,2,43580.0,668333.0
205,E01000210,Barnet 033E,22,35.2,13.26,958,49.6,31,3,50700.0,578333.0
206,E01000211,Barnet 035C,38,29.52,11.83,1537,27.4,77,4,72430.0,295833.0
207,E01000212,Barnet 035D,31,28.17,17.83,915,34.8,42,2,55210.0,1051667.0
208,E01000213,Barnet 033F,13,34.02,15.16,839,42.5,33,2,52080.0,2142083.0
209,E01000214,Barnet 038E,13,29.75,11.92,1223,33.1,51,1,49950.0,475250.0
210,E01000215,Barnet 037B,31,30.06,14.36,1154,21.9,96,3,51120.0,479500.0
211,E01000216,Barnet 035E,25,29.74,12.83,1216,19.5,103,3,40730.0,647667.0
212,E01000217,Barnet 035F,20,26.92,10.96,1066,21.5,83,2,52340.0,635133.0
213,E01000218,Barnet 037C,22,28.55,9.76,1131,15.2,124,3,68560.0,509667.0
214,E01000219,Barnet 037D,24,35.85,8.33,1155,19.1,99,4,47820.0,501583.0
215,E01000220,Barnet 037E,27,29.41,15.42,1200,15.3,127,2,41980.0,422500.0
216,E01000221,Barnet 039B,18,30.68,9.13,843,42.2,32,13,45860.0,196167.0
217,E01000222,Barnet 040C,25,28.03,11.5,1050,41.6,39,11,45590.0,347583.0
218,E01000223,Barnet 039C,21,41.67,11.22,856,54.5,24,9,42010.0,303333.0
219,E01000224,Barnet 040D,24,37.45,12.15,1073,16.1,101,8,40490.0,398167.0
220,E01000225,Barnet 037F,21,26.31,14.77,910,31.1,58,3,39500.0,618333.0
221,E01000226,Barnet 018D,15,34.98,11.68,1153,17.3,105,8,30520.0,232000.0
222,E01000227,Barnet 018E,28,49.0,14.82,1150,25.6,74,3,34590.0,347500.0
223,E01000228,Barnet 007A,18,59.25,11.57,936,288.6,5,4,32440.0,616917.0
224,E01000229,Barnet 013B,12,41.25,9.12,1130,28.0,61,7,36810.0,283333.0
225,E01000230,Barnet 013C,22,33.0,22.04,1043,27.1,66,3,44390.0,332917.0
226,E01000231,Barnet 013D,21,47.0,10.65,1209,36.5,51,6,30860.0,256583.0
227,E01000232,Barnet 013E,31,36.0,17.6,1150,29.8,63,2,39350.0,400183.0
228,E01000233,Barnet 013F,33,36.72,12.31,1169,26.5,68,4,44630.0,355000.0
229,E01000234,Barnet 021D,22,35.48,13.77,1091,27.6,63,5,35120.0,394833.0
230,E01000235,Barnet 021E,10,26.68,9.31,1136,35.1,49,10,38940.0,265000.0
231,E01000236,Barnet 034A,29,25.5,11.83,1177,22.9,84,2,37090.0,309500.0
232,E01000237,Barnet 032A,23,24.13,9.62,1521,32.5,65,2,39010.0,338833.0
233,E01000238,Barnet 034B,24,25.94,8.87,1231,21.1,93,4,40070.0,383750.0
234,E01000239,Barnet 031A,17,10.5,6.45,1482,43.0,46,5,40240.0,225917.0
235,E01000240,Barnet 031B,32,11.08,13.75,1176,44.1,39,4,34360.0,358333.0
236,E01000241,Barnet 031C,15,16.5,12.88,1227,34.0,53,3,40570.0,302483.0
237,E01000242,Barnet 032B,23,25.67,21.31,934,27.6,61,4,39160.0,513742.0
238,E01000243,Barnet 032C,28,22.52,14.11,1328,18.4,104,2,39360.0,249900.0
239,E01000244,Barnet 032D,25,15.79,12.87,1270,22.4,78,3,36580.0,321333.0
240,E01000245,Barnet 032E,43,24.93,11.04,1421,18.1,114,6,38470.0,249983.0
241,E01000246,Barnet 002B,14,47.87,20.71,927,107.6,14,3,40600.0,353333.0
242,E01000247,Barnet 002C,33,47.97,10.89,1197,26.6,64,3,40090.0,263750.0
243,E01000248,Barnet 001A,18,53.78,15.49,1081,27.1,62,1,36060.0,359333.0
244,E01000249,Barnet 001B,25,60.4,17.73,978,81.3,19,2,37160.0,474667.0
245,E01000250,Barnet 001C,34,50.08,13.84,1634,58.2,42,2,33150.0,276650.0
246,E01000251,Barnet 002D,20,40.69,15.55,1299,22.3,86,5,42140.0,230750.0
247,E01000252,Barnet 002E,26,52.22,16.24,1085,23.5,70,4,40710.0,299033.0
248,E01000253,Barnet 007B,23,45.38,25.51,957,331.7,5,2,44370.0,921500.0
249,E01000254,Barnet 001D,11,62.38,20.78,912,152.7,10,2,46630.0,444583.0
250,E01000255,Barnet 017A,24,37.09,16.95,933,106.8,14,4,41970.0,370000.0
251,E01000256,Barnet 016A,8,23.64,14.2,1154,56.2,32,3,38000.0,301333.0
252,E01000257,Barnet 017B,19,49.0,10.02,1261,68.0,28,11,39580.0,274000.0
253,E01000258,Barnet 016B,33,31.61,16.75,1059,79.8,21,3,50290.0,378833.0
254,E01000259,Barnet 025D,39,27.11,12.08,1745,128.4,20,5,45910.0,366667.0
255,E01000260,Barnet 025E,33,15.99,10.38,1319,81.6,24,6,37430.0,310000.0
256,E01000261,Barnet 017C,18,49.0,22.8,865,119.7,13,1,43080.0,530417.0
257,E01000262,Barnet 017D,14,51.46,11.03,1432,221.0,10,10,33970.0,384750.0
258,E01000263,Barnet 016C,22,39.0,15.74,937,39.4,40,1,43310.0,769500.0
259,E01000264,Barnet 016D,40,38.08,11.86,1110,37.8,45,4,40780.0,308333.0
260,E01000265,Barnet 011A,24,43.34,11.57,1265,21.1,93,7,39100.0,211317.0
261,E01000266,Barnet 011B,30,48.72,18.42,959,64.2,24,2,42710.0,637167.0
262,E01000267,Barnet 005A,23,48.01,14.86,1026,28.0,55,3,39200.0,371667.0
263,E01000268,Barnet 005B,19,56.1,12.94,1190,25.3,71,9,51000.0,242650.0
264,E01000269,Barnet 005C,31,50.54,17.84,916,27.2,53,2,39550.0,350667.0
265,E01000270,Barnet 005D,23,57.41,18.3,958,25.2,60,3,35730.0,351158.0
266,E01000271,Barnet 008A,28,52.59,21.77,913,34.2,44,2,44930.0,395333.0
267,E01000272,Barnet 008B,25,59.06,24.2,803,47.0,29,1,42080.0,608333.0
268,E01000273,Barnet 008C,29,48.82,21.08,959,32.9,47,3,39250.0,330000.0
269,E01000274,Barnet 011C,46,43.11,12.7,1207,26.7,71,6,41030.0,263742.0
270,E01000275,Barnet 012A,14,53.06,20.98,1045,33.1,50,3,42170.0,329833.0
271,E01000276,Barnet 020A,21,57.13,14.99,936,51.3,30,1,42590.0,603167.0
272,E01000277,Barnet 012B,12,47.0,16.61,1114,18.5,91,7,48030.0,325958.0
273,E01000278,Barnet 020B,18,54.41,15.83,919,27.5,57,1,39510.0,576000.0
274,E01000279,Barnet 007C,7,51.98,20.94,884,504.3,3,3,36640.0,1233334.0
275,E01000280,Barnet 007D,15,54.43,18.96,885,101.6,14,2,41650.0,926833.0
276,E01000281,Barnet 008D,16,47.01,12.14,845,26.9,49,7,49680.0,198250.0
277,E01000282,Barnet 008E,28,46.98,17.14,1090,52.9,33,2,37240.0,443500.0
278,E01000283,Barnet 012C,9,56.33,18.57,847,33.0,44,1,48880.0,701667.0
279,E01000284,Barnet 012D,19,40.83,13.83,1155,27.6,63,5,56760.0,277667.0
280,E01000285,Barnet 004A,12,65.93,14.71,974,20.2,72,5,51590.0,277333.0
281,E01000286,Barnet 007E,25,50.7,16.65,1025,26.9,61,8,38400.0,263000.0
282,E01000287,Barnet 004B,18,55.55,15.32,1033,27.3,59,8,44570.0,270067.0
283,E01000288,Barnet 004C,16,51.23,14.26,975,33.7,46,3,48090.0,345833.0
284,E01000289,Barnet 004D,20,51.91,10.41,1156,28.1,66,12,38160.0,220833.0
285,E01000290,Barnet 007F,21,48.25,22.28,929,204.7,8,4,35740.0,347000.0
286,E01000291,Barnet 004E,26,57.39,12.6,1014,25.0,65,11,35180.0,272775.0
287,E01000292,Barnet 001E,18,50.73,22.46,871,28.8,51,2,33690.0,338333.0
288,E01000293,Barnet 001F,17,49.36,16.66,1106,27.4,62,2,37360.0,426500.0
289,E01000294,Barnet 004F,22,56.44,23.82,959,33.1,50,4,30730.0,325668.0
290,E01000295,Barnet 023B,10,42.21,12.85,1233,20.4,85,2,37640.0,459858.0
291,E01000296,Barnet 023C,19,51.75,11.1,1280,22.2,79,4,31120.0,295167.0
